,date,time,currency,impact,event,actual,forecast,previous,actual_val,forecast_val,previous_val,rule_sentiment,finber_input,nlp_sentiment,nlp_confidence,market_sentiment
0,Sun,11:30pm,USD,Low,FOMC Member Barkin Speaks,,,,12.643749999999999,7.064583333333334,5.961311475409836,neutral,EVENT: FOMC Member Barkin Speaks | IMPACT (important): Low | FORECAST VALUE: 7.064583333333334 | PREVIOUS VALUE: 5.961311475409836 | ACTUAL RESULT: 12.643749999999999,negative,0.6949666142463684,bearish
1,Mon,5:20am,JPY,Low,Bank Lending y/y,2.4%,2.8%,2.8%,2.4,2.8,2.8,neutral,EVENT: Bank Lending y/y | IMPACT (important): Low | FORECAST VALUE: 2.8 | PREVIOUS VALUE: 2.8 | ACTUAL RESULT: 2.4,negative,0.9249274134635925,bearish
2,Mon,,JPY,Low,Current Account,2.72T,2.42T,2.91T,12.643749999999999,7.064583333333334,5.961311475409836,neutral,EVENT: Current Account | IMPACT (important): Low | FORECAST VALUE: 7.064583333333334 | PREVIOUS VALUE: 5.961311475409836 | ACTUAL RESULT: 12.643749999999999,negative,0.7152255773544312,bearish
3,Mon,10:30am,JPY,Low,Economy Watchers Sentiment,42.6,44.7,45.1,42.6,44.7,45.1,neutral,EVENT: Economy Watchers Sentiment | IMPACT (important): Low | FORECAST VALUE: 44.7 | PREVIOUS VALUE: 45.1 | ACTUAL RESULT: 42.6,negative,0.9132242798805237,bearish
4,Mon,1:30pm,GBP,Low,MPC Member Lombardelli Speaks,,,,12.643749999999999,7.064583333333334,5.961311475409836,neutral,EVENT: MPC Member Lombardelli Speaks | IMPACT (important): Low | FORECAST VALUE: 7.064583333333334 | PREVIOUS VALUE: 5.961311475409836 | ACTUAL RESULT: 12.643749999999999,negative,0.7170445919036865,bearish
5,Mon,All Day,EUR,Low,Eurogroup Meetings,,,,12.643749999999999,7.064583333333334,5.961311475409836,neutral,EVENT: Eurogroup Meetings | IMPACT (important): Low | FORECAST VALUE: 7.064583333333334 | PREVIOUS VALUE: 5.961311475409836 | ACTUAL RESULT: 12.643749999999999,negative,0.6041644215583801,bearish
6,Mon,4:00pm,GBP,Low,MPC Member Greene Speaks,,,,12.643749999999999,7.064583333333334,5.961311475409836,neutral,EVENT: MPC Member Greene Speaks | IMPACT (important): Low | FORECAST VALUE: 7.064583333333334 | PREVIOUS VALUE: 5.961311475409836 | ACTUAL RESULT: 12.643749999999999,negative,0.6926403641700745,bearish
7,Mon,6:20pm,GBP,Low,MPC Member Mann Speaks,,,,12.643749999999999,7.064583333333334,5.961311475409836,neutral,EVENT: MPC Member Mann Speaks | IMPACT (important): Low | FORECAST VALUE: 7.064583333333334 | PREVIOUS VALUE: 5.961311475409836 | ACTUAL RESULT: 12.643749999999999,negative,0.719505786895752,bearish
8,Mon,7:00pm,USD,Medium,President Trump Speaks,,,,12.643749999999999,7.064583333333334,5.961311475409836,neutral,EVENT: President Trump Speaks | IMPACT (important): Medium | FORECAST VALUE: 7.064583333333334 | PREVIOUS VALUE: 5.961311475409836 | ACTUAL RESULT: 12.643749999999999,neutral,0.8732748031616211,neutral
9,Mon,7:15pm,USD,Low,Cleveland Fed Inflation Expectations,3.9%,,3.2%,3.9,7.064583333333334,3.2,neutral,EVENT: Cleveland Fed Inflation Expectations | IMPACT (important): Low | FORECAST VALUE: 7.064583333333334 | PREVIOUS VALUE: 3.2 | ACTUAL RESULT: 3.9,negative,0.8999119997024536,bearish
10,Mon,7:55pm,USD,Low,FOMC Member Kugler Speaks,,,,12.643749999999999,7.064583333333334,5.961311475409836,neutral,EVENT: FOMC Member Kugler Speaks | IMPACT (important): Low | FORECAST VALUE: 7.064583333333334 | PREVIOUS VALUE: 5.961311475409836 | ACTUAL RESULT: 12.643749999999999,negative,0.7214913368225098,bearish
11,Mon,9:30pm,GBP,Low,MPC Member Taylor Speaks,,,,12.643749999999999,7.064583333333334,5.961311475409836,neutral,EVENT: MPC Member Taylor Speaks | IMPACT (important): Low | FORECAST VALUE: 7.064583333333334 | PREVIOUS VALUE: 5.961311475409836 | ACTUAL RESULT: 12.643749999999999,negative,0.7254241108894348,bearish
12,Mon,11:30pm,USD,Low,Federal Budget Balance,258.4B,256.4B,-160.5B,12.643749999999999,7.064583333333334,5.961311475409836,neutral,EVENT: Federal Budget Balance | IMPACT (important): Low | FORECAST VALUE: 7.064583333333334 | PREVIOUS VALUE: 5.961311475409836 | ACTUAL RESULT: 12.643749999999999,negative,0.7574158310890198,bearish
13,Mon,,USD,Low,Loan Officer Survey,,,,12.643749999999999,7.064583333333334,5.961311475409836,neutral,EVENT: Loan Officer Survey | IMPACT (important): Low | FORECAST VALUE: 7.064583333333334 | PREVIOUS VALUE: 5.961311475409836 | ACTUAL RESULT: 12.643749999999999,negative,0.7103090882301331,bearish
14,Tue,4:31am,GBP,Low,BRC Retail Sales Monitor y/y,6.8%,2.4%,0.9%,6.8,2.4,0.9,neutral,EVENT: BRC Retail Sales Monitor y/y | IMPACT (important): Low | FORECAST VALUE: 2.4 | PREVIOUS VALUE: 0.9 | ACTUAL RESULT: 6.8,negative,0.9418277144432068,bearish
15,Tue,5:20am,JPY,Low,BOJ Summary of Opinions,,,,12.643749999999999,7.064583333333334,5.961311475409836,neutral,EVENT: BOJ Summary of Opinions | IMPACT (important): Low | FORECAST VALUE: 7.064583333333334 | PREVIOUS VALUE: 5.961311475409836 | ACTUAL RESULT: 12.643749999999999,negative,0.627061665058136,bearish
